rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
354	息	18362	18361	401	94.8468	HSK1
355	久	18286	18268	577	94.8679	HSK2
356	混	18262	18219	341	94.8889	HSK6
357	头	18140	18131	1800	94.9098	HSK2
358	來	18102	18099	3335	94.9306	
359	特	17886	17885	4785	94.9512	HSK2
360	另	17673	17673	160	94.9716	HSK3
361	愿	17568	17549	397	94.9918	HSK2
362	否	17483	17483	193	95.0119	HSK3
363	掉	17421	17421	606	95.0320	HSK2
364	烦	17360	17359	217	95.0520	HSK3
365	托	17288	17287	1532	95.0719	HSK5
366	嗎	17121	17121	144	95.0916	
367	麻	16960	16960	613	95.1111	HSK3
368	待	16950	16950	744	95.1306	HSK3
369	试	16950	11840	593	95.1502	HSK1
370	注	16875	16875	277	95.1696	HSK3
371	曾	16851	16851	296	95.1890	HSK3
372	日	16659	16646	1402	95.2082	HSK1
373	答	16577	16577	312	95.2273	HSK1
374	表	15916	15916	1229	95.2456	HSK2
375	持	15846	15846	401	95.2638	HSK3
376	母	15680	15680	620	95.2819	HSK3
377	通	15611	15563	1321	95.2999	HSK2
378	唯	15583	15583	142	95.3178	HSK5
379	音	15439	15439	1016	95.3356	HSK2
380	主	15435	15434	2043	95.3533	HSK2
381	消	15361	15360	384	95.3710	HSK3
382	士	15336	15336	1302	95.3887	HSK4
383	路	15290	15290	1895	95.4063	HSK1
384	连	15269	15267	1529	95.4239	HSK3
385	枪	15204	15204	767	95.4414	HSK5
386	夫	15023	15023	2062	95.4587	HSK3
387	宝	15002	14378	892	95.4760	HSK4
388	物	14989	14989	1601	95.4932	HSK2
389	整	14772	14568	705	95.5102	HSK3
390	衣	14707	14707	639	95.5272	HSK1
391	助	14613	14613	547	95.5440	HSK2
392	奇	14605	14604	1843	95.5608	HSK3
393	绝	14487	14487	354	95.5775	HSK3
394	伤	14411	14411	542	95.5941	HSK3
395	入	14400	14400	1431	95.6107	HSK2
396	除	14319	14319	337	95.6271	HSK3
397	收	14296	14296	1080	95.6436	HSK2
398	简	14159	14158	270	95.6599	HSK3
399	眼	14141	14140	1116	95.6762	HSK2
400	說	14093	14093	877	95.6924	
401	体	14058	14058	952	95.7086	HSK1
402	声	13961	13960	851	95.7247	HSK2
403	气	13843	13843	1267	95.7406	HSK1
404	贝	13835	13832	1549	95.7565	HSK4
405	改	13814	13812	598	95.7725	HSK2
406	划	13785	13785	364	95.7883	HSK2
407	棒	13730	13722	292	95.8041	HSK5
408	故	13718	13718	263	95.8199	HSK2
409	嘴	13536	13536	426	95.8355	HSK2
410	甚	13476	13476	128	95.8510	HSK4
411	讲	13463	13391	342	95.8665	HSK2
412	乐	13422	13419	1170	95.8820	HSK2
413	选	13317	13317	717	95.8973	HSK2
414	婚	13087	13087	439	95.9124	HSK3
415	沒	13028	13028	2187	95.9274	
416	哥	13004	8676	1929	95.9424	HSK1
417	场	13000	13000	1001	95.9573	HSK1
418	约	12985	12985	495	95.9723	HSK3
419	倒	12929	12929	675	95.9872	HSK2
420	门	12904	12904	1429	96.0020	HSK1
421	静	12885	12854	454	96.0169	HSK2
422	酒	12740	12740	1131	96.0315	HSK2
423	官	12720	12720	840	96.0462	HSK4
424	便	12693	12689	426	96.0608	HSK2
425	止	12672	12672	296	96.0754	HSK3
426	司	12602	12602	772	96.0899	HSK2
427	查	12554	12453	1348	96.1044	HSK2
428	险	12220	12220	273	96.1184	HSK3
429	會	12173	12165	5379	96.1324	
430	闭	12143	12143	173	96.1464	HSK4
431	乎	12119	12116	228	96.1604	HSK4
432	目	11973	11973	728	96.1742	HSK2
433	易	11955	11955	558	96.1879	HSK3
434	跳	11892	11887	466	96.2016	HSK3
435	迎	11878	11878	209	96.2153	HSK2
436	张	11866	11866	950	96.2290	HSK3
437	功	11768	11768	473	96.2425	HSK3
438	各	11724	11653	500	96.2560	HSK3
439	靠	11616	11616	349	96.2694	HSK2
440	单	11577	11550	696	96.2827	HSK2
441	昨	11555	11555	36	96.2960	HSK1
442	护	11480	11480	482	96.3092	HSK2
443	片	11376	11376	892	96.3223	HSK2
444	趣	11261	11261	194	96.3353	HSK4
445	提	11113	11113	1565	96.3481	HSK2
446	虽	11019	11019	108	96.3608	HSK2
447	幸	10915	10914	335	96.3733	HSK3
448	反	10901	10901	856	96.3859	HSK3
449	睛	10859	10859	49	96.3984	HSK2
450	择	10850	10850	88	96.4109	HSK4
451	危	10812	10812	195	96.4233	HSK3
452	容	10803	10803	467	96.4358	HSK3
453	克	10796	10738	5651	96.4482	HSK2
454	讨	10743	10743	191	96.4606	HSK2
455	教	10739	10712	1423	96.4730	HSK1
456	為	10651	10651	1116	96.4852	
457	交	10414	10414	1357	96.4972	HSK2
458	神	10408	10407	1923	96.5092	HSK3
459	合	10363	10361	1407	96.5211	HSK2
460	敢	10299	10289	248	96.5330	HSK3
461	制	10292	10292	941	96.5448	HSK3
462	利	10247	10247	3450	96.5566	HSK2
463	内	10085	10085	1377	96.5682	HSK3
464	令	10083	10083	892	96.5799	HSK5
465	喔	10082	10082	2	96.5915	
466	影	10081	10081	812	96.6031	HSK1
467	拉	10062	10041	4360	96.6147	HSK2
468	报	10030	10030	727	96.6262	HSK2
469	运	10020	10020	647	96.6377	HSK2
470	份	9955	9955	487	96.6492	HSK2
471	随	9942	9931	296	96.6606	HSK2
472	终	9892	9892	258	96.6720	HSK3
473	派	9873	9873	941	96.6834	HSK3
474	轻	9860	9762	841	96.6948	HSK2
475	冷	9793	9793	547	96.7060	HSK1
476	鬼	9776	9765	752	96.7173	HSK5
477	哇	9754	9751	107	96.7285	HSK6
478	参	9749	9749	253	96.7397	HSK2
479	狗	9722	9594	895	96.7509	HSK2
480	猜	9686	9374	210	96.7621	HSK5
481	条	9623	9623	859	96.7732	HSK1
482	紧	9601	9523	409	96.7842	HSK3
483	校	9529	9529	617	96.7952	HSK1
484	糟	9445	9442	145	96.8061	HSK5
485	岁	9381	9381	281	96.8169	HSK1
486	顾	9346	9346	234	96.8276	HSK2
487	式	9322	9322	832	96.8384	HSK3
488	挺	9266	9266	473	96.8490	HSK2
