rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
7736	歭	0	0	1	100.0000	
7737	齥	0	0	1	100.0000	
7738	鵶	0	0	1	100.0000	
7739	韗	0	0	1	100.0000	
7740	鑟	0	0	1	100.0000	
7741	趖	0	0	1	100.0000	
7742	怃	0	0	2	100.0000	
7743	熘	0	0	1	100.0000	
7744	戥	0	0	1	100.0000	
7745	桜	0	0	1	100.0000	
7746	厹	0	0	1	100.0000	
7747	卌	0	0	1	100.0000	
7748	皉	0	0	1	100.0000	
7749	汛	0	0	4	100.0000	HSK7-9
7750	耪	0	0	1	100.0000	
7751	栂	0	0	1	100.0000	
7752	椝	0	0	1	100.0000	
7753	崦	0	0	1	100.0000	
7754	莘	0	0	6	100.0000	
7755	駜	0	0	1	100.0000	
7756	枎	0	0	1	100.0000	
7757	眲	0	0	1	100.0000	
7758	硢	0	0	1	100.0000	
7759	酐	0	0	3	100.0000	
7760	刖	0	0	1	100.0000	
7761	蕸	0	0	1	100.0000	
7762	锝	0	0	1	100.0000	
7763	菂	0	0	1	100.0000	
7764	箎	0	0	1	100.0000	
7765	袓	0	0	1	100.0000	
7766	懋	0	0	2	100.0000	
7767	羼	0	0	1	100.0000	
7768	朹	0	0	1	100.0000	
7769	窀	0	0	2	100.0000	
7770	洠	0	0	1	100.0000	
7771	颩	0	0	1	100.0000	
7772	羧	0	0	1	100.0000	
7773	豻	0	0	1	100.0000	
7774	欭	0	0	1	100.0000	
7775	咥	0	0	1	100.0000	
7776	矧	0	0	1	100.0000	
7777	欳	0	0	1	100.0000	
7778	秢	0	0	1	100.0000	
7779	筄	0	0	1	100.0000	
7780	筀	0	0	1	100.0000	
7781	肭	0	0	1	100.0000	
7782	晙	0	0	3	100.0000	
7783	郄	0	0	3	100.0000	
7784	猷	0	0	1	100.0000	
7785	唭	0	0	1	100.0000	
7786	熹	0	0	11	100.0000	
7787	觇	0	0	1	100.0000	
7788	柞	0	0	2	100.0000	
7789	胵	0	0	1	100.0000	
7790	钫	0	0	1	100.0000	
7791	镝	0	0	1	100.0000	
7792	杬	0	0	1	100.0000	
7793	怑	0	0	1	100.0000	
7794	巉	0	0	1	100.0000	
7795	焘	0	0	4	100.0000	
7796	遒	0	0	1	100.0000	
7797	钰	0	0	5	100.0000	
7798	斪	0	0	1	100.0000	
7799	粳	0	0	1	100.0000	
7800	籞	0	0	1	100.0000	
7801	鼢	0	0	1	100.0000	
7802	酏	0	0	1	100.0000	
7803	瞫	0	0	1	100.0000	
7804	禼	0	0	1	100.0000	
7805	簐	0	0	1	100.0000	
7806	肦	0	0	1	100.0000	
7807	譡	0	0	1	100.0000	
7808	馣	0	0	1	100.0000	
7809	鞔	0	0	1	100.0000	
7810	胿	0	0	1	100.0000	
7811	䇲	0	0	1	100.0000	
7812	憺	0	0	1	100.0000	
7813	琣	0	0	1	100.0000	
7814	菉	0	0	1	100.0000	
7815	嬅	0	0	1	100.0000	
7816	飊	0	0	1	100.0000	
7817	睆	0	0	1	100.0000	
7818	尢	0	0	1	100.0000	
7819	圧	0	0	1	100.0000	
7820	愍	0	0	1	100.0000	
7821	惝	0	0	1	100.0000	
7822	锟	0	0	1	100.0000	
7823	檍	0	0	1	100.0000	
7824	钿	0	0	5	100.0000	
7825	舯	0	0	1	100.0000	
7826	徴	0	0	1	100.0000	
7827	娌	0	0	1	100.0000	
7828	嗾	0	0	1	100.0000	
7829	鶮	0	0	1	100.0000	
7830	朙	0	0	1	100.0000	
7831	舴	0	0	1	100.0000	
7832	櫕	0	0	1	100.0000	
7833	藼	0	0	1	100.0000	
7834	碡	0	0	1	100.0000	
7835	牰	0	0	1	100.0000	
7836	佄	0	0	1	100.0000	
