rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
512	即	7935	7935	236	97.3257	HSK4
513	密	7908	7908	635	97.3343	HSK4
514	考	7904	7904	606	97.3430	HSK1
515	斯	7844	7775	7508	97.3517	HSK7-9
516	梦	7806	7806	577	97.3602	HSK4
517	努	7784	7784	292	97.3688	HSK2
518	星	7770	7429	1084	97.3773	HSK1
519	演	7765	7765	645	97.3859	HSK3
520	水	7748	7748	2201	97.3944	HSK1
521	苦	7700	7690	452	97.4028	HSK3
522	赶	7642	7642	238	97.4112	HSK3
523	队	7611	7611	1050	97.4196	HSK2
524	饭	7562	7562	414	97.4279	HSK1
525	议	7547	7547	247	97.4362	HSK3
526	介	7513	7513	265	97.4445	HSK1
527	拍	7507	7499	405	97.4527	HSK3
528	量	7506	7506	572	97.4610	HSK2
529	院	7490	7490	437	97.4692	HSK1
530	俩	7417	7417	105	97.4773	HSK4
531	负	7409	7409	238	97.4855	HSK3
532	色	7407	7407	920	97.4936	HSK2
533	控	7363	7363	286	97.5017	HSK5
534	黑	7362	7361	1078	97.5098	HSK2
535	醒	7323	6272	246	97.5179	HSK4
536	婆	7321	7239	263	97.5259	HSK4
537	痛	7254	7249	430	97.5339	HSK3
538	较	7198	7198	149	97.5418	HSK3
539	秘	7163	7162	201	97.5497	HSK4
540	室	7077	7077	490	97.5574	HSK2
541	杯	7047	7047	384	97.5652	HSK1
542	器	7042	7042	862	97.5729	HSK3
543	概	7024	7024	53	97.5806	HSK3
544	厉	6885	6885	55	97.5882	HSK5
545	据	6875	6875	200	97.5958	HSK3
546	骗	6859	6859	221	97.6033	HSK5
547	聪	6829	6829	86	97.6108	HSK5
548	糕	6802	6802	55	97.6183	HSK5
549	遇	6742	6742	178	97.6257	HSK4
550	呆	6733	6732	214	97.6331	HSK5
551	英	6720	6720	1016	97.6405	HSK2
552	联	6711	6711	400	97.6479	HSK3
553	往	6710	6660	738	97.6552	HSK2
554	恶	6686	6686	450	97.6626	HSK4
555	妹	6684	3658	421	97.6699	HSK1
556	习	6674	6674	201	97.6773	HSK1
557	松	6664	6663	613	97.6846	HSK4
558	似	6618	6618	273	97.6919	HSK3
559	丢	6615	6615	129	97.6991	HSK5
560	亡	6590	6590	189	97.7064	HSK6
561	碰	6583	6579	185	97.7136	HSK2
562	击	6577	6577	491	97.7208	HSK5
563	竟	6574	6574	224	97.7281	HSK4
564	呃	6560	6560	1	97.7353	
565	及	6560	6560	529	97.7425	HSK3
566	板	6531	6531	575	97.7497	HSK2
567	陪	6479	6466	201	97.7568	HSK5
568	置	6452	6452	248	97.7639	HSK4
569	虑	6390	6390	69	97.7709	HSK4
570	游	6388	6388	576	97.7779	HSK2
571	员	6207	6207	749	97.7847	HSK3
572	叔	6175	3229	443	97.7915	HSK4
573	适	6172	6172	151	97.7983	HSK2
574	戏	6155	6155	410	97.8051	HSK3
575	仍	6154	6154	134	97.8118	HSK3
576	哭	6141	6137	160	97.8186	HSK2
577	标	6141	6141	410	97.8253	HSK3
578	丈	6137	6137	91	97.8321	HSK4
579	狂	6130	6130	363	97.8388	HSK5
580	拥	6106	6106	100	97.8455	HSK5
581	味	6101	6101	487	97.8522	HSK2
582	刻	6093	6090	263	97.8589	HSK2
583	病	6075	6075	726	97.8656	HSK1
584	周	6058	6058	572	97.8723	HSK2
585	究	6057	6057	107	97.8789	HSK4
586	口	6053	6052	1306	97.8856	HSK1
587	耶	6037	6037	776	97.8922	
588	付	6028	6028	403	97.8988	HSK3
589	建	6006	6006	529	97.9054	HSK3
590	球	5975	5975	1194	97.9120	HSK1
591	万	5970	5967	1470	97.9185	HSK2
592	赛	5956	5956	953	97.9251	HSK3
593	丽	5906	5906	1591	97.9316	HSK3
594	象	5897	5897	672	97.9381	HSK3
595	立	5877	5877	822	97.9445	HSK3
596	换	5855	5846	730	97.9510	HSK2
597	祝	5843	5843	190	97.9574	HSK3
598	达	5823	5823	1816	97.9638	HSK3
599	争	5819	5819	372	97.9702	HSK3
600	剩	5804	5804	173	97.9766	HSK5
601	书	5798	5798	1046	97.9829	HSK1
602	傻	5762	5758	169	97.9893	HSK5
603	检	5680	5680	284	97.9955	HSK2
604	假	5666	5666	543	98.0017	HSK1
605	律	5662	5662	265	98.0080	HSK4
606	附	5632	5632	142	98.0141	HSK4
607	脑	5622	5622	501	98.0203	HSK1
608	装	5604	5604	1012	98.0265	HSK2
609	军	5594	5594	964	98.0326	HSK5
610	度	5568	5568	985	98.0387	HSK2
611	偷	5558	5277	442	98.0449	HSK5
